# v1 v2 g dc1 dc2 ettr mttr
7 13 1 0.428571 0.307692 4.230769 14
7 21 7 0.428571 0.238095 inf inf
7 31 1 0.428571 0.193548 8.304147 34
7 57 1 0.428571 0.140351 13.072682 49
7 73 1 0.428571 0.123288 14.978474 58
7 91 7 0.428571 0.109890 16.069074 66
7 133 7 0.428571 0.090226 22.692803 110
7 183 1 0.428571 0.076503 24.260734 94
7 273 7 0.428571 0.062271 33.464155 156
7 307 1 0.428571 0.058632 41.486738 260
7 381 1 0.428571 0.052493 42.754781 210
7 553 7 0.428571 0.043400 48.509946 225
7 651 7 0.428571 0.039939 51.272109 203
7 757 1 0.428571 0.036988 62.323457 275
7 871 1 0.428571 0.034443 65.110546 387
7 993 1 0.428571 0.032226 70.562365 386
7 1057 7 0.428571 0.031220 71.712123 350
7 1407 7 0.428571 0.027008 80.621789 391
7 1723 1 0.428571 0.024376 96.940221 479
7 1893 1 0.428571 0.023244 104.244736 663
7 2257 1 0.428571 0.021267 103.827078 624
7 2451 1 0.428571 0.020400 125.880107 968
7 2863 7 0.428571 0.018861 121.405070 641
7 3541 1 0.428571 0.016944 133.355186 704
7 3783 1 0.428571 0.016389 130.187040 664
7 4161 1 0.428571 0.015621 174.911045 1290
7 4557 7 0.428571 0.014922 160.843099 1043
7 5113 1 0.428571 0.014082 156.815345 796
7 5403 1 0.428571 0.013696 172.192327 1002
7 6321 7 0.428571 0.012656 173.794947 945
7 6643 7 0.428571 0.012344 184.393776 959
7 6973 1 0.428571 0.012046 202.919465 1467
7 8011 1 0.428571 0.011235 197.569003 1219
7 9507 1 0.428571 0.010308 219.770815 1218
7 10303 1 0.428571 0.009900 228.196836 1323
7 10713 1 0.428571 0.009708 226.973503 1533
7 11557 7 0.428571 0.009345 237.062263 1188
7 11991 7 0.428571 0.009174 237.754518 1310
7 12883 1 0.428571 0.008849 285.349564 2344
7 16257 1 0.428571 0.007874 280.051362 1672
7 17293 1 0.428571 0.007633 298.856490 1680
7 18907 7 0.428571 0.007299 329.929074 3044
7 19461 1 0.428571 0.007194 317.328276 2092
7 22351 7 0.428571 0.006711 333.414683 2146
7 22953 7 0.428571 0.006622 341.705249 2105
7 24807 1 0.428571 0.006369 350.900506 2211
7 26733 7 0.428571 0.006135 368.387504 2790
7 28057 1 0.428571 0.005988 367.300699 2002
7 30103 1 0.428571 0.005780 401.877060 2926
7 32221 7 0.428571 0.005586 430.482077 2755
7 32943 1 0.428571 0.005525 413.238906 2436
7 36673 7 0.428571 0.005235 455.764985 3370
7 37443 7 0.428571 0.005181 435.602153 2494
7 39007 1 0.428571 0.005076 459.280525 3435
7 39801 1 0.428571 0.005025 461.130252 3364
7 44733 1 0.428571 0.004739 498.126548 3138
7 49953 1 0.428571 0.004484 499.724664 2951
7 51757 1 0.428571 0.004405 548.060580 3957
7 52671 1 0.428571 0.004367 533.371058 4070
7 54523 7 0.428571 0.004292 527.308371 3109
7 57361 1 0.428571 0.004184 549.886949 3256
7 58323 1 0.428571 0.004149 562.802298 4376
7 63253 1 0.428571 0.003984 592.745464 4315
7 66307 1 0.428571 0.003891 575.921917 4160
7 69433 7 0.428571 0.003802 579.792468 3787
7 72631 1 0.428571 0.003717 632.388437 4715
7 73713 1 0.428571 0.003690 628.209694 3861
7 77007 7 0.428571 0.003610 640.668338 4235
7 79243 1 0.428571 0.003559 624.309534 4678
7 80373 1 0.428571 0.003534 682.794736 5191
7 86143 1 0.428571 0.003413 666.928169 4885
7 94557 1 0.428571 0.003257 724.216654 5067
7 97033 1 0.428571 0.003215 710.068526 4181
7 98283 1 0.428571 0.003195 727.998387 5244
7 100807 7 0.428571 0.003155 704.130500 5047
7 109893 7 0.428571 0.003021 789.549870 6340
7 113907 1 0.428571 0.002967 771.752112 5833
7 120757 7 0.428571 0.002882 796.804692 4830
7 122151 1 0.428571 0.002865 785.257707 4692
7 124963 1 0.428571 0.002833 826.162254 6189
7 129241 7 0.428571 0.002785 838.873970 5591
7 135057 1 0.428571 0.002725 821.739489 5075
7 139503 7 0.428571 0.002681 893.975409 6292
7 144021 1 0.428571 0.002639 881.328679 6502
7 147073 1 0.428571 0.002611 893.251353 5425
7 151711 7 0.428571 0.002571 893.972708 7371
7 158007 1 0.428571 0.002519 914.652142 7378
7 161203 7 0.428571 0.002494 918.935337 8113
7 167691 1 0.428571 0.002445 954.036345 9138
7 175981 1 0.428571 0.002387 965.528645 6440
7 177663 1 0.428571 0.002375 984.171472 8526
7 186193 7 0.428571 0.002320 1007.681140 6650
7 187923 1 0.428571 0.002309 1035.893722 13167
7 193161 1 0.428571 0.002278 1046.558811 7077
7 196693 7 0.428571 0.002257 1026.487384 6552
7 202051 1 0.428571 0.002227 1015.136667 6664
7 209307 7 0.428571 0.002188 1060.285976 9003
7 212983 1 0.428571 0.002169 1078.199627 7525
7 214833 1 0.428571 0.002160 1060.163117 7931
7 218557 1 0.428571 0.002141 1057.002154 8978
7 229921 1 0.428571 0.002088 1153.099896 9905
7 237657 7 0.428571 0.002053 1113.176708 9060
7 241573 1 0.428571 0.002037 1183.276293 10528
7 249501 7 0.428571 0.002004 1179.476263 9191
7 253513 1 0.428571 0.001988 1157.094354 8225
7 259591 1 0.428571 0.001965 1170.344413 9677
7 271963 1 0.428571 0.001919 1225.049877 9583
7 274053 1 0.428571 0.001912 1212.993122 10255
7 293223 7 0.428571 0.001848 1260.456774 8316
7 299757 1 0.428571 0.001828 1275.219284 11926
7 310807 7 0.428571 0.001795 1291.762083 8533
7 317533 1 0.428571 0.001776 1306.696690 10965
7 324331 7 0.428571 0.001757 1333.859185 10185
7 326613 7 0.428571 0.001751 1332.290239 9019
7 333507 1 0.428571 0.001733 1387.786892 13746
7 345157 1 0.428571 0.001704 1354.136315 14588
7 352243 1 0.428571 0.001686 1349.430453 10680
7 359401 7 0.428571 0.001669 1392.007920 9262
7 361803 1 0.428571 0.001664 1403.846822 10132
7 369057 1 0.428571 0.001647 1350.115104 9309
7 376383 7 0.428571 0.001631 1489.902359 14535
7 381307 1 0.428571 0.001621 1414.307230 12532
7 383781 1 0.428571 0.001616 1408.569318 12367
7 398793 1 0.428571 0.001585 1454.177885 11420
7 411523 7 0.428571 0.001560 1414.843373 10319
7 414093 1 0.428571 0.001555 1470.313121 10406
7 419257 1 0.428571 0.001546 1495.394987 12728
7 427063 7 0.428571 0.001531 1514.724195 10605
7 434941 1 0.428571 0.001517 1594.516734 16993
7 437583 1 0.428571 0.001513 1507.307118 10433
7 453603 1 0.428571 0.001486 1580.629495 14738
7 459007 1 0.428571 0.001477 1579.094344 11199
7 467173 7 0.428571 0.001464 1587.097971 13051
7 478173 1 0.428571 0.001447 1638.610005 14841
7 492103 1 0.428571 0.001427 1719.625604 18708
7 503391 7 0.428571 0.001410 1637.366423 12026
7 517681 1 0.428571 0.001391 1648.292849 12044
7 529257 1 0.428571 0.001376 1688.154033 12585
7 538023 1 0.428571 0.001364 1710.677599 12999
7 546861 7 0.428571 0.001353 1674.151785 11462
7 552793 1 0.428571 0.001346 1702.764028 10872
7 564753 7 0.428571 0.001332 1742.820568 13447
7 573807 1 0.428571 0.001321 1767.076794 13920
7 579883 1 0.428571 0.001314 1727.690407 11645
7 592131 1 0.428571 0.001300 1815.541517 14840
7 598303 1 0.428571 0.001294 1783.457998 12123
7 620157 1 0.428571 0.001271 1826.290184 12376
7 636007 1 0.428571 0.001255 1848.166278 11703
7 655291 7 0.428571 0.001236 1898.749597 16492
7 658533 1 0.428571 0.001233 1865.497887 16219
7 674863 7 0.428571 0.001218 1912.675442 14108
7 678153 7 0.428571 0.001215 1907.092818 15802
7 684757 1 0.428571 0.001209 1949.401174 16259
7 688071 1 0.428571 0.001206 1942.653323 14701
7 704761 1 0.428571 0.001192 1958.305333 14504
7 728463 1 0.428571 0.001172 2005.881225 16831
7 735307 1 0.428571 0.001167 1991.868902 15951
7 738741 1 0.428571 0.001164 2017.628648 14931
7 745633 7 0.428571 0.001159 1989.423173 17087
7 770007 7 0.428571 0.001140 2016.676317 14334
7 777043 1 0.428571 0.001135 2060.143415 16878
7 780573 1 0.428571 0.001133 2018.524126 17248
7 787657 1 0.428571 0.001127 2087.654595 17682
7 823557 7 0.428571 0.001103 2169.959450 17362
7 830833 1 0.428571 0.001098 2087.160334 15591
7 845481 7 0.428571 0.001088 2095.550364 15365
7 863971 1 0.428571 0.001076 2196.291524 17471
7 878907 1 0.428571 0.001067 2272.096426 26649
7 886423 1 0.428571 0.001063 2145.015386 15939
7 897757 7 0.428571 0.001056 2247.852472 25763
7 909163 1 0.428571 0.001049 2189.606061 14827
7 936057 1 0.428571 0.001034 2239.156080 17657
7 943813 1 0.428571 0.001030 2241.619971 17210
7 955507 7 0.428571 0.001024 2285.749748 16571
7 967273 1 0.428571 0.001017 2312.151653 23039
7 983073 7 0.428571 0.001009 2326.010329 17912
7 995007 1 0.428571 0.001003 2345.069898 21663
7 1019091 1 0.428571 0.000991 2378.763998 20054
7 1027183 1 0.428571 0.000987 2315.075529 19314
13 21 1 0.307692 0.238095 9.234432 33
13 31 1 0.307692 0.193548 12.704715 51
13 57 1 0.307692 0.140351 19.272605 86
13 73 1 0.307692 0.123288 21.909378 104
13 91 13 0.307692 0.109890 23.289096 91
13 133 1 0.307692 0.090226 33.068826 160
13 183 1 0.307692 0.076503 38.060950 161
13 273 13 0.307692 0.062271 44.408848 186
13 307 1 0.307692 0.058632 49.902030 183
13 381 1 0.307692 0.052493 56.104381 270
13 553 1 0.307692 0.043400 71.041730 358
13 651 1 0.307692 0.039939 73.461775 361
13 757 1 0.307692 0.036988 100.137689 710
13 871 13 0.307692 0.034443 86.510024 402
13 993 1 0.307692 0.032226 100.489736 579
13 1057 1 0.307692 0.031220 97.689833 482
13 1407 1 0.307692 0.027008 116.589908 598
13 1723 1 0.307692 0.024376 133.830439 790
13 1893 1 0.307692 0.023244 129.239709 650
13 2257 1 0.307692 0.021267 142.169865 910
13 2451 1 0.307692 0.020400 159.953175 1055
13 2863 1 0.307692 0.018861 156.392380 786
13 3541 1 0.307692 0.016944 186.125215 1523
13 3783 13 0.307692 0.016389 191.133309 1201
13 4161 1 0.307692 0.015621 206.126467 1248
13 4557 1 0.307692 0.014922 210.649668 1265
13 5113 1 0.307692 0.014082 235.992794 1573
13 5403 1 0.307692 0.013696 244.289027 1599
13 6321 1 0.307692 0.012656 239.852981 1222
